Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard,CCAvg_to_Income,Income_Group
25,1,49,4,1.6,1,0,0,1,0,0,0,0.0327,Medium
45,19,34,3,1.5,1,0,0,1,0,0,0,0.0441,Low
39,15,11,1,1.0,1,0,0,0,0,0,0,0.0909,Low
35,9,100,1,2.7,2,0,0,0,0,0,0,0.027,High
35,8,45,4,1.0,2,0,0,0,0,0,1,0.0222,Medium
37,13,29,4,0.4,2,155,0,0,0,1,0,0.0138,Low
53,27,72,2,1.5,2,0,0,0,0,1,0,0.0208,Medium
50,24,22,1,0.3,3,0,0,0,0,0,1,0.0136,Low
35,10,81,3,0.6,2,104,0,0,0,1,0,0.0074,High
34,9,180,1,8.9,3,0,1,0,0,0,0,0.0494,Very_High
65,39,105,4,2.4,3,0,0,0,0,0,0,0.0229,High
29,5,45,3,0.1,2,0,0,0,0,1,0,0.0022,Medium
48,23,114,2,3.8,3,0,0,1,0,0,0,0.0333,High
59,32,40,4,2.5,2,0,0,0,0,1,0,0.0625,Low
67,41,112,1,2.0,1,0,0,1,0,0,0,0.0179,High
60,30,22,1,1.5,3,0,0,0,0,1,1,0.0682,Low
38,14,130,4,4.7,3,134,1,0,0,0,0,0.0362,High
42,18,81,4,2.4,1,0,0,0,0,0,0,0.0296,High
46,21,193,2,8.1,3,0,1,0,0,0,0,0.042,Very_High
55,28,21,1,0.5,2,0,0,1,0,0,1,0.0238,Low
56,31,25,4,0.9,2,111,0,0,0,1,0,0.036,Low
57,27,63,3,2.0,3,0,0,0,0,1,0,0.0317,Medium
29,5,62,1,1.2,1,260,0,0,0,1,0,0.0194,Medium
44,18,43,2,0.7,1,163,0,1,0,0,0,0.0163,Medium
36,11,152,2,3.9,1,159,0,0,0,0,1,0.0257,Very_High
43,19,29,3,0.5,1,97,0,0,0,1,0,0.0172,Low
40,16,83,4,0.2,3,0,0,0,0,0,0,0.0024,High
46,20,158,1,2.4,1,0,0,0,0,1,1,0.0152,Very_High
56,30,48,1,2.2,3,0,0,0,0,1,1,0.0458,Medium
38,13,119,1,3.3,2,0,1,0,1,1,1,0.0277,High
59,35,35,1,1.2,3,122,0,0,0,1,0,0.0343,Low
40,16,29,1,2.0,2,0,0,0,0,1,0,0.069,Low
53,28,41,2,0.6,3,193,0,0,0,0,0,0.0146,Medium
30,6,18,3,0.9,3,0,0,0,0,0,0,0.05,Low
31,5,50,4,1.8,3,0,0,0,0,1,0,0.036,Medium
48,24,81,3,0.7,1,0,0,0,0,0,0,0.0086,High
59,35,121,1,2.9,1,0,0,0,0,0,1,0.024,High
51,25,71,1,1.4,3,198,0,0,0,0,0,0.0197,Medium
42,18,141,3,5.0,3,0,1,1,1,1,0,0.0355,Very_High
38,13,80,4,0.7,3,285,0,0,0,1,0,0.0087,Medium
57,32,84,3,1.6,3,0,0,1,0,0,0,0.019,High
34,9,60,3,2.3,1,0,0,0,0,0,0,0.0383,Medium
32,7,132,4,1.1,2,412,1,0,0,1,0,0.0083,Very_High
39,15,45,1,0.7,1,0,0,0,0,1,0,0.0156,Medium
46,20,104,1,5.7,1,0,0,0,0,1,1,0.0548,High
57,31,52,4,2.5,1,0,0,0,0,0,1,0.0481,Medium
39,14,43,3,0.7,2,153,0,0,0,1,0,0.0163,Medium
37,12,194,4,0.2,3,211,1,1,1,1,1,0.001,Very_High
56,26,81,2,4.5,3,0,0,0,0,0,1,0.0556,High
40,16,49,1,1.8,1,0,0,0,0,0,1,0.0367,Medium
32,8,8,4,0.7,2,0,0,1,0,1,0,0.0875,Low
61,37,131,1,2.9,1,0,0,0,0,1,0,0.0221,Very_High
30,6,72,1,0.1,1,207,0,0,0,0,0,0.0014,Medium
50,26,190,3,2.1,3,240,1,0,0,1,0,0.0111,Very_High
29,5,44,1,0.2,3,0,0,0,0,1,0,0.0045,Medium
41,17,139,2,8.0,1,0,0,0,0,1,0,0.0576,Very_High
55,30,29,3,0.1,2,0,0,1,1,1,0,0.0034,Low
56,31,131,2,1.2,3,0,1,0,0,0,0,0.0092,Very_High
28,2,93,2,0.2,1,0,0,0,0,0,0,0.0022,High
31,5,188,2,4.5,1,455,0,0,0,0,0,0.0239,Very_High
49,24,39,3,1.7,2,0,0,1,0,1,0,0.0436,Low
47,21,125,1,5.7,1,112,0,1,0,0,0,0.0456,High
42,18,22,1,1.0,1,0,0,0,0,0,0,0.0455,Low
42,17,32,4,0.0,2,0,0,0,0,1,0,0.0,Low
47,23,105,2,3.3,1,0,0,0,0,0,0,0.0314,High
59,35,131,1,3.8,1,0,0,0,0,1,1,0.029,Very_High
62,36,105,2,2.8,1,336,0,0,0,0,0,0.0267,High
53,23,45,4,2.0,3,132,0,1,0,0,0,0.0444,Medium
47,21,60,3,2.1,1,0,0,0,0,1,1,0.035,Medium
53,29,20,4,0.2,1,0,0,0,0,1,0,0.01,Low
42,18,115,1,3.5,1,0,0,0,0,0,1,0.0304,High
53,29,69,4,1.0,2,0,0,0,0,1,0,0.0145,Medium
44,20,130,1,5.0,1,0,0,0,0,0,1,0.0385,High
41,16,85,1,4.0,3,0,0,0,0,1,1,0.0471,High
28,3,135,2,3.3,1,0,0,0,0,0,1,0.0244,Very_High
31,7,135,4,3.8,2,0,1,0,1,1,1,0.0281,Very_High
58,32,12,3,0.3,3,0,0,0,0,0,0,0.025,Low
46,20,29,3,0.5,2,0,0,0,0,0,0,0.0172,Low
54,30,133,2,2.6,3,0,1,0,0,0,0,0.0195,Very_High
50,26,19,2,0.4,1,118,0,0,0,1,0,0.0211,Low
60,36,41,4,1.3,1,174,0,0,0,1,1,0.0317,Medium
47,22,40,3,2.7,2,0,0,0,0,1,0,0.0675,Low
41,16,82,1,4.0,3,0,0,0,0,1,0,0.0488,High
33,9,50,1,2.4,2,0,0,0,0,0,0,0.048,Medium
46,22,18,1,0.9,3,0,0,0,0,1,0,0.05,Low
27,2,109,4,1.8,3,0,0,0,0,0,0,0.0165,High
40,16,42,4,2.2,2,126,0,0,0,0,0,0.0524,Medium
48,22,78,3,1.1,1,0,0,0,0,1,0,0.0141,Medium
65,41,51,2,1.1,1,0,0,0,0,1,0,0.0216,Medium
25,0,113,4,2.3,3,0,0,0,0,0,1,0.0204,High
55,30,118,4,5.6,2,0,1,0,0,1,0,0.0475,High
